latitude;longitude;geometry;CÓDIGO OACI;TIPO;NOME;MUNICÍPIO ATENDIDO;UF
-22,917778;-53,149722;Point;SSLO;AERÓDROMO;ATTILLIO ACCORSI;LOANDA;PR
-12,271389;-40,530556;Point;SSLS;AERÓDROMO;RUY BARBOSA;RUY BARBOSA;BA
-29,812500;-55,892222;Point;SSLT;AERÓDROMO;GAUDÊNCIO MACHADO RAMOS;ALEGRETE;RS
-26,158889;-49,832222;Point;SSMF;AERÓDROMO;HUGO WERNER;MAFRA;SC
-21,633889;-55,145000;Point;SSMJ;AERÓDROMO;MARACAJU;MARACAJU;MS
-24,528889;-51,647222;Point;SSMR;AERÓDROMO;MANOEL RIBAS;MANOEL RIBAS;PR
-31,104167;-50,912222;Point;SSMT;AERÓDROMO;MOSTARDAS;MOSTARDAS;RS
-23,041389;-54,185000;Point;SSNB;AERÓDROMO;ARIOSTO DA RIVA;NAVIRAÍ;MS
-29,719444;-51,489444;Point;SSNG;AERÓDROMO;MONTENEGRO;MONTENEGRO;RS
-29,696111;-51,081667;Point;SSNH;AERÓDROMO;NOVO HAMBURGO;NOVO HAMBURGO;RS
-27,367222;-52,733889;Point;SSNO;AERÓDROMO;ARMANDO REGINATTO;NONOAI;RS
-28,802500;-51,604167;Point;SSNP;AERÓDROMO;NOVA PRATA;NOVA PRATA;RS
-21,184722;-55,830278;Point;SSNQ;AERÓDROMO;NIOAQUE;NIOAQUE;MS
-26,781111;-53,503333;Point;SSOE;AERÓDROMO;HÉLIO WASUM;SÃO MIGUEL DO OESTE;SC
-23,355833;-51,490833;Point;SSOG;AERÓDROMO;ARAPONGAS;ARAPONGAS;PR
-22,306389;-48,773889;Point;SSOI;AERÓDROMO;PEDERNEIRAS;PEDERNEIRAS;SP
-21,243889;-44,969444;Point;SSOL;AERÓDROMO;LAVRAS;LAVRAS;MG
-29,902222;-50,250556;Point;SSOS;AERÓDROMO;OSÓRIO;OSÓRIO;RS
-26,217778;-52,694167;Point;SSPB;AERÓDROMO;JUVENAL LOUREIRO CARDOSO;PATO BRANCO;PR
-25,540556;-48,531111;Point;SSPG;AERÓDROMO;SANTOS DUMONT;PARANAGUÁ;PR
-23,090000;-52,488611;Point;SSPI;AERÓDROMO;EDU CHAVES;PARANAVAÍ;PR
-27,901667;-53,328889;Point;SSPL;AERÓDROMO;PALMEIRA DAS MISSÕES;PALMEIRA DAS MISSÕES;RS
-21,712778;-57,879167;Point;SSPM;AERÓDROMO;PORTO MURTINHO;PORTO MURTINHO;MS
-19,651111;-51,199444;Point;SSPN;AERÓDROMO;PARANAÍBA;PARANAÍBA;MS
-26,472222;-51,975556;Point;SSPS;AERÓDROMO;SÃO SEBASTIÃO;PALMAS;PR
-24,344722;-53,828889;Point;SSPT;AERÓDROMO;BRASÍLIO MARQUES;PALOTINA;PR
-23,674444;-49,818889;Point;SSQC;AERÓDROMO;AGUINALDO PEREIRA LIMA;SIQUEIRA CAMPOS;PR
-13,541111;-42,475833;Point;SSQM;AERÓDROMO;TANQUE NOVO;TANQUE NOVO;BA
-11,772222;-40,419444;Point;SSQN;AERÓDROMO;MUNDO NOVO;MUNDO NOVO;BA
-10,465278;-39,286111;Point;SSQP;AERÓDROMO;MONTE SANTO;MONTE SANTO;BA
-24,807500;-49,960278;Point;SSQT;AERÓDROMO;MAJOR NEODO S. PEREIRA;CASTRO;PR
-12,106389;-45,895000;Point;SSQZ;AERÓDROMO;LUIS EDUARDO MAGALHÃES;LUIS EDUARDO MAGALHÃES;BA
-21,847778;-54,527778;Point;SSRB;AERÓDROMO;RIO BRILHANTE;RIO BRILHANTE;MS
-25,801111;-53,513056;Point;SSRE;AERÓDROMO;REALEZA;REALEZA;PR
-12,768611;-39,449167;Point;SSRF;AERÓDROMO;CASTRO ALVES;CASTRO ALVES;BA
-24,531667;-47,840278;Point;SSRG;AERÓDROMO;AEROPORTO ESTADUAL DE REGISTRO;REGISTRO;SP
-9,513611;-42,995833;Point;SSRK;AERÓDROMO;CAMPO ALEGRE DE LOURDES;CAMPO ALEGRE DE LOURDES;BA
-2,756667;-42,804444;Point;SSRS;AERÓDROMO;BARREIRINHAS;BARREIRINHAS;MA
-31,383333;-52,032778;Point;SSRU;AERÓDROMO;SÃO LOURENÇO DO SUL;SÃO LOURENÇO DO SUL;RS
-30,277500;-54,925278;Point;SSRZ;AERÓDROMO;ROSÁRIO DO SUL;ROSÁRIO DO SUL;RS
-28,653056;-56,032778;Point;SSSB;AERÓDROMO;SÃO BORJA;SÃO BORJA;RS
-29,683611;-52,412222;Point;SSSC;AERÓDROMO;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;RS
-28,863056;-52,540556;Point;SSSD;AERÓDROMO;SOLEDADE;SOLEDADE;RS
-30,345000;-54,267778;Point;SSSG;AERÓDROMO;SÃO GABRIEL;SÃO GABRIEL;RS
-28,258889;-49,915833;Point;SSSQ;AERÓDROMO;ISMAEL NUNES;SÃO JOAQUIM;SC
-26,221111;-48,564444;Point;SSSS;AERÓDROMO;SÃO FRANCISCO DO SUL;SÃO FRANCISCO DO SUL;SC
-29,215000;-54,842222;Point;SSST;AERÓDROMO;SANTIAGO;SANTIAGO;RS
-23,061944;-51,013889;Point;SSSZ;AERÓDROMO;SERTANÓPOLIS;SERTANÓPOLIS;PR
-26,132778;-50,309722;Point;SSTB;AERÓDROMO;TRÊS BARRAS;TRÊS BARRAS;SC
-23,799167;-53,313889;Point;SSUM;AERÓDROMO;ORLANDO DE CARVALHO;UMUARAMA;PR
-26,231667;-51,068889;Point;SSUV;AERÓDROMO;JOSÉ CLETO;UNIÃO DA VITÓRIA;PR
-27,000000;-51,157500;Point;SSVI;AERÓDROMO;ÂNGELO PONZONI;VIDEIRA;SC
-24,316389;-50,652222;Point;SSVL;AERÓDROMO;TELÊMACO BORBA (SBTL*);TELÊMACO BORBA;PR
-28,935000;-51,568333;Point;SSVN;AERÓDROMO;VERANÓPOLIS;VERANÓPOLIS;RS
-33,502222;-53,344167;Point;SSVP;AERÓDROMO;SANTA VITÓRIA DO PALMAR;SANTA VITÓRIA DO PALMAR;RS
-2,906667;-40,358056;Point;SSVV;AERÓDROMO;POLO TURÍSTICO DE JERICOACOARA;CRUZ;CE
-27,347778;-53,402500;Point;SSWF;AERÓDROMO;FREDERICO WESTPHALEN;FREDERICO WESTPHALEN;RS
-30,549444;-53,459167;Point;SSWS;AERÓDROMO;CAÇAPAVA DO SUL;CAÇAPAVA DO SUL;RS
-27,981111;-52,863611;Point;SSXD;AERÓDROMO;SARANDI;SARANDI;RS
-26,875556;-52,373056;Point;SSXX;AERÓDROMO;MUNICIPAL JOÃO WINCKLER;XANXERÊ;SC
-24,104167;-49,790556;Point;SSYA;AERÓDROMO;AVELINO VIEIRA;ARAPOTI;PR
-27,908889;-54,522222;Point;SSZR;AERÓDROMO;SANTA ROSA;SANTA ROSA;RS
-22,830833;-51,603611;Point;SSZS;AERÓDROMO;MUNICIPAL DE CENTENÁRIO DO SUL;CENTENÁRIO DO SUL;PR
-25,184444;-50,143889;Point;SSZW;AERÓDROMO;COMANDANTE ANTONIO AMILTON BERALDO;PONTA GROSSA;PR
-14,500278;-57,017222;Point;SWAN;AERÓDROMO;ARENÁPOLIS;ARENÁPOLIS;MT
-15,723889;-51,836389;Point;SWAY;AERÓDROMO;ARAGUAIANA;ARAGUAIANA;MT
-18,125556;-49,042778;Point;SWBA;AERÓDROMO;BURITI ALEGRE;BURITI ALEGRE;GO
-0,980833;-62,918889;Point;SWBC;AERÓDROMO;BARCELOS;BARCELOS;AM
-4,050000;-40,883333;Point;SWBE;AERÓDROMO;WALFRIDO SAMITO DE ALMEIDA;SÃO BENEDITO;CE
-15,193333;-59,385278;Point;SWBG;AERÓDROMO;PONTES E LACERDA;PONTES E LACERDA;MT
-11,016944;-48,600556;Point;SWBH;AERÓDROMO;BREJINHO DE NAZARÉ;BREJINHO DE NAZARÉ;TO
-2,796111;-57,056111;Point;SWBI;AERÓDROMO;BARREIRINHA;BARREIRINHA;AM
-4,408611;-59,597778;Point;SWBR;AERÓDROMO;BORBA;BORBA;AM
-4,878611;-66,895556;Point;SWCA;AERÓDROMO;CARAUARI;CARAUARI;AM
-13,008889;-46,774722;Point;SWCB;AERÓDROMO;CAMPOS BELOS;CAMPOS BELOS;GO
-12,421667;-64,251667;Point;SWCQ;AERÓDROMO;COSTA MARQUES;COSTA MARQUES;RO
-15,489444;-60,085556;Point;SWCV;AERÓDROMO;CASALVASCO;VILA BELA DA SANTÍSSIMA TRINDADE;MT
-13,766111;-47,428611;Point;SWCW;AERÓDROMO;CAVALCANTE;CAVALCANTE;GO
-15,344722;-49,604722;Point;SWCZ;AERÓDROMO;CERES;CERES;GO
-14,376944;-56,400556;Point;SWDM;AERÓDROMO;DIAMANTINO;DIAMANTINO;MT
-11,616944;-46,850556;Point;SWDN;AERÓDROMO;DIANÓPOLIS;DIANÓPOLIS;TO
-6,637500;-69,883056;Point;SWEI;AERÓDROMO;EIRUNEPÉ;EIRUNEPÉ;AM
-13,574444;-52,270556;Point;SWEK;AERÓDROMO;CANARANA;CANARANA;MT
-3,072778;-60,021111;Point;SWFN;AERÓDROMO;FLORES;MANAUS;AM
-15,556111;-47,345278;Point;SWFR;AERÓDROMO;FORMOSA;FORMOSA;GO
-11,631944;-50,688333;Point;SWFX;AERÓDROMO;SÃO FÉLIX DO ARAGUAIA;SÃO FÉLIX DO ARAGUAIA;MT
-11,739167;-49,132222;Point;SWGI;AERÓDROMO;GURUPI;GURUPI;TO
-7,228333;-48,240833;Point;SWGN;AERÓDROMO;ARAGUAÍNA;ARAGUAÍNA;TO
-17,883889;-50,567222;Point;SWHG;AERÓDROMO;SANTA HELENA DE GOIÁS;SANTA HELENA DE GOIÁS;GO
-14,019444;-52,152222;Point;SWHP;AERÓDROMO;OLHOS D'ÁGUA;ÁGUA BOA;MT
-7,533611;-63,050556;Point;SWHT;AERÓDROMO;FRANCISCO CORREA DA CRUZ;HUMAITÁ;AM
-14,106389;-46,669444;Point;SWIA;AERÓDROMO;IACIARA;IACIARA;GO
-2,933611;-69,694722;Point;SWII;AERÓDROMO;IPIRANGA;SANTO ANTÔNIO DO IÇÁ;AM
-17,687222;-48,161944;Point;SWIP;AERÓDROMO;IPAMERI;IPAMERI;GO
-13,550556;-48,200556;Point;SWIQ;AERÓDROMO;MINAÇU;MINAÇU;GO
-11,419444;-58,701667;Point;SWJN;AERÓDROMO;JUÍNA;JUÍNA;MT
-10,305833;-58,489444;Point;SWJU;AERÓDROMO;JURUENA;JURUENA;MT
-17,830000;-51,775278;Point;SWJW;AERÓDROMO;JATAÍ;JATAÍ;GO
-16,042778;-57,629722;Point;SWKC;AERÓDROMO;CÁCERES;CÁCERES;MT
-4,133889;-63,131111;Point;SWKO;AERÓDROMO;COARI;COARI;AM
-9,082778;-42,644444;Point;SWKQ;AERÓDROMO;SERRA DA CAPIVARA/SÃO RAIMUNDO NONATO;SÃO RAIMUNDO NONATO;PI
-18,216944;-47,901389;Point;SWKT;AERÓDROMO;CATALÃO;CATALÃO;GO
-7,250278;-64,783889;Point;SWLB;AERÓDROMO;LÁBREA;LÁBREA;AM
-17,834722;-50,956111;Point;SWLC;AERÓDROMO;GENERAL LEITE DE CASTRO;RIO VERDE;GO
-17,551944;-52,556111;Point;SWME;AERÓDROMO;MINEIROS;MINEIROS;GO
-13,249722;-46,871389;Point;SWML;AERÓDROMO;MONTE ALEGRE DE GOIÁS;MONTE ALEGRE DE GOIÁS;GO
